CEFACT Code;Engineering UnitId;Description;DisplayName
10;12592;group;
11;12593;outfit;
13;12595;ration;
14;12596;shot;
15;12597;stick, military;
1I;12617;fixed rate;
20;12848;twenty foot container;
21;12849;forty foot container;
22;12850;decilitre per gram;dl/g
23;12851;gram per cubic centimetre;g/cm³
24;12852;theoretical pound;
25;12853;gram per square centimetre;g/cm²
27;12855;theoretical ton;
28;12856;kilogram per square metre;kg/m²
2A;12865;radian per second;rad/s
2B;12866;radian per second squared;rad/s²
2C;12867;roentgen;R
2G;12871;volt AC;V
2H;12872;volt DC;V
2I;12873;British thermal unit (international table) per hour;BtuIT/h
2J;12874;cubic centimetre per second;cm³/s
2K;12875;cubic foot per hour;ft³/h
2L;12876;cubic foot per minute;ft³/min
2M;12877;centimetre per second;cm/s
2N;12878;decibel;dB
2P;12880;kilobyte;kbyte
2Q;12881;kilobecquerel;kBq
2R;12882;kilocurie;kCi
2U;12885;megagram;Mg
2X;12888;metre per minute;m/min
2Y;12889;milliroentgen;mR
2Z;12890;millivolt;mV
33;13107;kilopascal square metre per gram;kPa·m²/g
34;13108;kilopascal per millimetre;kPa/mm
35;13109;millilitre per square centimetre second;ml/(cm²·s)
37;13111;ounce per square foot;oz/ft²
38;13112;ounce per square foot per 0,01inch;oz/(ft²/cin)
3B;13122;megajoule;MJ
3C;13123;manmonth;
40;13360;millilitre per second;ml/s
41;13361;millilitre per minute;ml/min
4C;13379;centistokes;cSt
4G;13383;microlitre;µl
4H;13384;micrometre (micron);µm
4K;13387;milliampere;mA
4L;13388;megabyte;Mbyte
4M;13389;milligram per hour;mg/h
4N;13390;megabecquerel;MBq
4O;13391;microfarad;µF
4P;13392;newton per metre;N/m
4Q;13393;ounce inch;oz·in
4R;13394;ounce foot;oz·ft
4T;13396;picofarad;pF
4U;13397;pound per hour;lb/h
4W;13399;ton (US) per hour;ton (US) /h
4X;13400;kilolitre per hour;kl/h
56;13622;sitas;
57;13623;mesh;
58;13624;net kilogram;
59;13625;part per million;ppm
5A;13633;barrel (US) per minute;barrel (US)/min
5B;13634;batch;
5E;13637;MMSCF/day;
5J;13642;hydraulic horse power;
60;13872;percent weight;
61;13873;part per billion (US);ppb
64;13876;pound per square inch, gauge;
66;13878;oersted;Oe
74;14132;millipascal;mPa
76;14134;gauss;Gs
77;14135;milli-inch;mil
78;14136;kilogauss;kGs
80;14384;pound per square inch absolute;lb/in²
81;14385;henry;H
84;14388;A unit of pressure defining the number of kilopounds force per square inch. Use kip per square inch (common code N20).;klbf/in²
85;14389;foot pound-force;ft·lbf
87;14391;pound per cubic foot;lb/ft³
89;14393;poise;P
91;14641;stokes;St
A1;16689;15 °C calorie;cal15
A10;4272432;ampere square metre per joule second;A·m²/(J·s)
A11;4272433;angstrom;Å
A12;4272434;astronomical unit;ua
A13;4272435;attojoule;aJ
A14;4272436;barn;b
A15;4272437;barn per electronvolt;b/eV
A16;4272438;barn per steradian electronvolt;b/(sr·eV)
A17;4272439;barn per steradian;b/sr
A18;4272440;becquerel per kilogram;Bq/kg
A19;4272441;becquerel per cubic metre;Bq/m³
A2;16690;ampere per centimetre;A/cm
A20;4272688;British thermal unit (international table) per second square foot degree Rankine;BtuIT/(s·ft²·°R)
A21;4272689;British thermal unit (international table) per pound degree Rankine;Btu/IT(lb·°R)
A22;4272690;British thermal unit (international table) per second foot degree Rankine;BtuIT/(s·ft·°R)
A23;4272691;British thermal unit (international table) per hour square foot degree Rankine;BtuIT/(h·ft²·°R)
A24;4272692;candela per square metre;cd/m²
A25;4272693;cheval vapeur;CV
A26;4272694;coulomb metre;C·m
A27;4272695;coulomb metre squared per volt;C·m²/V
A28;4272696;coulomb per cubic centimetre;C/cm³
A29;4272697;coulomb per cubic metre;C/m³
A3;16691;ampere per millimetre;A/mm
A30;4272944;coulomb per cubic millimetre;C/mm³
A31;4272945;coulomb per kilogram second;C/(kg·s)
A32;4272946;coulomb per mole;C/mol
A33;4272947;coulomb per square centimetre;C/cm²
A34;4272948;coulomb per square metre;C/m²
A35;4272949;coulomb per square millimetre;C/mm²
A36;4272950;cubic centimetre per mole;cm³/mol
A37;4272951;cubic decimetre per mole;dm³/mol
A38;4272952;cubic metre per coulomb;m³/C
A39;4272953;cubic metre per kilogram;m³/kg
A4;16692;ampere per square centimetre;A/cm²
A40;4273200;cubic metre per mole;m³/mol
A41;4273201;ampere per square metre;A/m²
A42;4273202;curie per kilogram;Ci/kg
A43;4273203;deadweight tonnage;dwt
A44;4273204;decalitre;dal
A45;4273205;decametre;dam
A47;4273207;decitex;dtex (g/10km)
A48;4273208;degree Rankine;°R
